time,open,high,low,close,Basis,Upper,Lower,VWAP,Volume,Volume MA,TRIX,ATR
2017-12-08T00:00:00Z,406.31,456.78,390,442.54,430.312,507.1762808,353.4477192,429.7733333,41078.20268,28904.27239,103.4345445,44.272447
2017-12-09T00:00:00Z,442.54,488,426.4,460,435.6045,504.9746727,366.2343273,458.1333333,41905.98008,30029.68395,103.0665089,45.92269014
2017-12-10T00:00:00Z,460.02,460.05,403.2,429.91,438.729,500.7760073,376.6819927,431.0533333,34920.62841,30861.8644,102.0047502,46.96338632
2017-12-11T00:00:00Z,427.4,512,427.4,509.69,446.1075,504.9748678,387.2401322,483.03,29781.26996,31039.04569,101.8386221,50.54782571
2017-12-12T00:00:00Z,509.69,639.27,494.89,619.4,458.045,547.7359841,368.3540159,584.52,59379.26709,33101.92981,103.9361279,59.48422327
2017-12-13T00:00:00Z,619.4,705.69,539.93,684.01,471.9955,602.0542892,341.9367108,643.21,57711.00473,34717.02999,108.4240307,69.60572581
2017-12-14T00:00:00Z,684,747.6,630.5,679.87,482.539,641.0041193,324.0738807,685.99,60922.30235,36243.22719,114.4218698,74.12899002
2017-12-15T00:00:00Z,679.01,689,594.6,673.75,493.1355,671.7090834,314.5619166,652.45,39752.26693,37159.40898,121.2082188,76.0595624
2017-12-16T00:00:00Z,674.95,712,669.22,680.33,504.01,699.561268,308.458732,687.1833333,26879.68669,37418.83743,128.3848769,72.89008027
2017-12-17T00:00:00Z,682.17,728,680.34,705.03,515.646,729.1396591,302.1523409,704.4566667,31380.84008,37799.82373,135.8648879,70.48816786
2017-12-18T00:00:00Z,706.35,798.88,638,784,531.5375,773.3692232,289.7057768,740.2933333,45668.66784,38884.89471,144.178717,79.09691378
2017-12-19T00:00:00Z,784,864.9,729.01,798,550.3525,812.7532678,287.9517322,797.3033333,69423.62125,39790.40099,152.9265845,84.50577913
2017-12-20T00:00:00Z,798,828,661,790.21,568.4915,844.2131087,292.7698913,759.7366667,72526.28416,41157.50407,161.5561465,92.3623716
2017-12-21T00:00:00Z,794.62,845.99,705.98,782.41,584.7365,870.4910305,298.9819695,778.1266667,78222.53998,43415.02007,169.6529289,96.90024097
2017-12-22T00:00:00Z,784,796,504.99,635.97,593.6535,874.066342,313.240658,645.6533333,154630.4948,49856.73781,175.2121237,115.3868847
2017-12-23T00:00:00Z,635.15,714.99,627.97,640.34,602.6555,876.8570912,328.4539088,661.1,79001.05634,52582.28763,178.6580317,112.6852766
2017-12-24T00:00:00Z,640.33,667.64,563.49,658,612.2225,880.0546306,344.3903694,629.71,95431.94156,56199.36121,180.5316385,111.8723931
2017-12-25T00:00:00Z,659.4,744,599.99,714.95,625.288,886.3093153,364.2666847,686.3133333,78544.84102,58855.63548,181.7541036,114.9331176
2017-12-26T00:00:00Z,713.12,750,712.56,750,642.236,889.0423283,395.4296717,737.52,60052.47905,59927.83386,182.7195912,107.5528207
2017-12-27T00:00:00Z,750,766.05,693.18,739.89,658.915,883.8053128,434.0246872,733.04,51339.2782,60427.63266,183.1950719,104.2496949
2017-12-28T00:00:00Z,739.89,744.93,645.88,707.89,672.1825,874.6365159,469.7284841,699.5666667,72679.61288,62007.70317,182.7553429,103.7544859
2017-12-29T00:00:00Z,709.5,757.87,703,733.99,685.882,864.7581418,507.0058582,731.62,64028.12647,63113.81049,181.8038814,99.09882054
2017-12-30T00:00:00Z,732.9,735,635.82,681.06,698.4395,833.592111,563.286889,683.96,89879.99994,65861.77907,179.6940721,99.10655192
2017-12-31T00:00:00Z,680.01,740,672.86,733.98,709.654,814.011649,605.296351,715.6133333,62628.24458,67504.1278,177.2713122,96.0621184
2018-01-01T00:00:00Z,733.01,763.55,716.8,754.99,716.4335,813.8428737,619.0241263,745.1133333,53909.25885,67230.62739,174.7691754,91.36572618
2018-01-02T00:00:00Z,754.99,899.5,749.06,855.28,724.997,838.3136599,611.6803401,834.6133333,113257.7836,70007.96633,173.1984561,96.99184749
2018-01-03T00:00:00Z,855.13,950.01,810,934.03,737.705,880.9752416,594.4347584,898.0133333,89041.45688,71413.92405,172.9688518,101.0888144
2018-01-04T00:00:00Z,934.03,1009.72,890.01,940,751.0175,915.8934428,586.1415572,946.5766667,102894.4738,74571.0344,173.6439931,102.8622606
2018-01-05T00:00:00Z,940,1045,930,959.3,764.966,949.5813009,580.3506991,978.1,97374.0163,78095.75088,174.9975799,104.0182358
2018-01-06T00:00:00Z,958,1017.56,950,1004.11,779.92,989.4619447,570.3780553,990.5566667,71954.27895,80124.42282,177.0623502,100.5460229
2018-01-07T00:00:00Z,1003.71,1125,999.9,1123.09,796.8745,1054.377523,539.3714771,1082.663333,65278.81957,81104.93041,180.4156209,102.8844969
2018-01-08T00:00:00Z,1123.09,1239.18,910,1133.18,813.6335,1109.95153,517.3154698,1094.12,158831.548,85575.32675,184.5591571,124.4364496
2018-01-09T00:00:00Z,1133.18,1326.5,1104.85,1291,838.673,1200.283967,477.0620326,1240.783333,118702.8868,87884.15688,190.1493217,133.6948829
2018-01-10T00:00:00Z,1291,1440,1201.1,1247,861.9025,1263.545545,460.2594547,1296.033333,160185.0129,91982.28053,196.2046451,143.7144179
2018-01-11T00:00:00Z,1249.03,1332.49,1021,1138.93,887.0505,1291.929737,482.1712631,1164.14,194546.2939,93978.07048,201.497601,159.6930448
2018-01-12T00:00:00Z,1136.45,1288.5,1069.01,1253.87,917.727,1335.938789,499.5152106,1203.793333,93763.47261,94716.19129,206.7475212,165.3879929
